streamer,twitch_id
aminematue,407388596
RebeuDeter,407837457
Kamet0,27115917
Squeezie,52130765
Domingo,40063341
Etoiles,85800130
JLTomy,155601320
AntoineDaniel,135468063
chowh1,117168642
ZeratoR,41719107
Gotaga,24147592
Joueur_du_Grenier,68078157
Locklear,137347549
Sardoche,50795214
WankilStudio,31289086
SolaryHS,416031592
Jolavanille,574802385
Ponce,50597026
Pauleta_Twitch,41487980
Bichouu_,173066877
Shaunz,43102846
Alderiate,77452537
Shisheyu_Mayamoto,62989856
Mynthos,28585164
RocKy_,115695918
jbzzed,114497555
Tonton,72480716
dahmien7,113080650
RocketBaguette,139027213
SkyrrozTV,52349411
Altair,190708734
TheGuill84,36318615
otplol_,622498423
Chap_GG,113511896
Cruelladk,62658190
MasterSnakou,42141251
DVM_Medja,132199022
KmSenKangoo,779220187
mistermv,28575692
Lapi,44806759
Kaydop,63675549
WakzLoL,103762288
Minos,63985840
PapeSan,485818115
Xari,88301612
SAFINEE,418538643
MaximeBiaggi,119657765
ImSoFresh,52616898
Linca,144395004
BruceGrannec,31813025
HortyUnderscore,127129336
Oonolive,70983894
YassEncore,198013846
BagheraJones,100744948
TraYtoNlol,81446331
Low4n,35828637
AlphaCast,94435040
Tobias,473183066
FURL3X,101214680
TheKAIRI78,26144032
Terracid,89873316
LittleBigWhale,121652526
Koumoo,222511852
BlitzStream,49632767
Skyyart,70298660
Maghla,131215608
samueletienne,505902512
Onutrem,38466285
Alexclick,89284114
POTATOZYTB,198882188
SixenTv,38009333
lestream,147337432
robert87000,70915697
zacknani,87184624
LesTwinsFifa,598462554
artefr,488678599
Poko,53265819
PasDeBol_TFT,576114251
AVAMind,241808969
Laink,89872865
rhobalas_lol,151874024
Voltariux,60408047
Jirayalecochon,26567552
AngleDroit,177146919
valleague_fr,227504250
cameliaaa92,790173918
LeBouseuh,96562014
FairyPeak,78705692
Crocodyle_lol,101234264
MoMaN,18887776
RMCsport,552015849
HugoDelire,52803405
SolaryFortnite,198506129
Areliann,69592711
Cabochardlol,75985070
SebJDG,36094763
FantaBobShow,29188740
JeanMassiet,117011503
Marex,161006524
Phyzikk,73522739
Solary,174955366
Sackzi,139504995
Ultia,68594999
Un33D,50561208
Narkuss_lol,39194732
MGG_FR,741663198
TwincyTV,440140011
Sir_Thomas_,71619324
m4fgaming,429600778
allangello,38598455
Tikyjr,87183799
JOSPLAY,58074830
Melchior,85977125
Kaellyn,492854165
Sakor_,38284441
aypierre,29753247
DamDamLive,40729999
LyeGaia,103824525
LeCheps,105438356
Rivenzi,32053915
Krolay,432857248
Grimkujow,92537604
Pressea,469724446
Nikof,110119637
Pollynette,106828118
AnaisMRN,130152638
Slipixxx,89204267
DrFeelgood,38350595
Berlu,96324761
Punkill,38824799
Sowdred,727375071
OPcrotte,133034596
Gom4rt,149220653
idreau_,486205216
HeyarTV,43043577
twiks,140719811
SieurPC,497641799
FarodGames,53226469
NeverSayYesTwitch,95155668
JeelTV,114119743
firstteam101,262227458
chesscomfr,117546026
GoBGG,40760591
magarky,26563460
KRL_STREAM,129289579
YoMax,74391737
MahdiBa,112523183
D7RL,171183040
KarimDebbache,32678204
SamZirah,819789066
oraxe,31124525
Aenot,42549067
Sanjay,416025627
LeVraiDoffy,407902778
JulietteArz,124403155
Yann,149682636
Nisqyy,84539108
kinstaar,75701802
MisterJDay,49474235
BibixHD,35685209
DANYetRAZ,40740351
france_casinoplayer,problem with username
KennyStream,32183344
KenB0gard,37523739
MapleSyrupJunkie,47071828
TiooLoL,50977632
CaMaK,30396958
Waolol1,173713008
WinamaxSport,644597699
loveBASTOS,730112297
brahim2twitch_,803196257
MiziTW,93056678
BYSLIDE,29537514
ESKc,183819202
Riskin,64546560
JimmyBoyyy,49035758
Proze,51123995
Tatiana_TV,655890726
Morloft,112004117
Trinity,40383341
naevuis,63180918
Mickalow,30709418
Kaatsup,544340296
Frenchwargame,421924021
KSWINNIIE,150352604
Julgane,87399830
Lu_K,601706343
KhOyATv,38771775
MrBboy45,21080562
FuuRy_Off,117323707
